ProductID,ProductName,ProductNumber,Color,Size,StandardCost,ListPrice
729,"LL Road Frame - Red, 60",FR-R38R-60,Red,60,187.1571,337.22
730,"LL Road Frame - Red, 62",FR-R38R-62,Red,62,187.1571,337.22
731,"ML Road Frame - Red, 44",FR-R72R-44,Red,44,352.1394,594.83
732,"ML Road Frame - Red, 48",FR-R72R-48,Red,48,352.1394,594.83
733,"ML Road Frame - Red, 52",FR-R72R-52,Red,52,352.1394,594.83
734,"ML Road Frame - Red, 58",FR-R72R-58,Red,58,352.1394,594.83
735,"ML Road Frame - Red, 60",FR-R72R-60,Red,60,352.1394,594.83
736,"LL Road Frame - Black, 44",FR-R38B-44,Black,44,204.6251,337.22
737,"LL Road Frame - Black, 48",FR-R38B-48,Black,48,204.6251,337.22
738,"LL Road Frame - Black, 52",FR-R38B-52,Black,52,204.6251,337.22
739,"HL Mountain Frame - Silver, 42",FR-M94S-42,Silver,42,747.2002,1364.5
740,"HL Mountain Frame - Silver, 44",FR-M94S-44,Silver,44,706.811,1364.5
741,"HL Mountain Frame - Silver, 48",FR-M94S-52,Silver,48,706.811,1364.5
742,"HL Mountain Frame - Silver, 46",FR-M94S-46,Silver,46,747.2002,1364.5
743,"HL Mountain Frame - Black, 42",FR-M94B-42,Black,42,739.041,1349.6
744,"HL Mountain Frame - Black, 44",FR-M94B-44,Black,44,699.0928,1349.6
745,"HL Mountain Frame - Black, 48",FR-M94B-48,Black,48,699.0928,1349.6
746,"HL Mountain Frame - Black, 46",FR-M94B-46,Black,46,739.041,1349.6
747,"HL Mountain Frame - Black, 38",FR-M94B-38,Black,38,739.041,1349.6
748,"HL Mountain Frame - Silver, 38",FR-M94S-38,Silver,38,747.2002,1364.5
749,"Road-150 Red, 62",BK-R93R-62,Red,62,2171.2942,3578.27
750,"Road-150 Red, 44",BK-R93R-44,Red,44,2171.2942,3578.27
751,"Road-150 Red, 48",BK-R93R-48,Red,48,2171.2942,3578.27
752,"Road-150 Red, 52",BK-R93R-52,Red,52,2171.2942,3578.27
753,"Road-150 Red, 56",BK-R93R-56,Red,56,2171.2942,3578.27
754,"Road-450 Red, 58",BK-R68R-58,Red,58,884.7083,1457.99
755,"Road-450 Red, 60",BK-R68R-60,Red,60,884.7083,1457.99
756,"Road-450 Red, 44",BK-R68R-44,Red,44,884.7083,1457.99
757,"Road-450 Red, 48",BK-R68R-48,Red,48,884.7083,1457.99
758,"Road-450 Red, 52",BK-R68R-52,Red,52,884.7083,1457.99
759,"Road-650 Red, 58",BK-R50R-58,Red,58,486.7066,782.99
760,"Road-650 Red, 60",BK-R50R-60,Red,60,486.7066,782.99
761,"Road-650 Red, 62",BK-R50R-62,Red,62,486.7066,782.99
762,"Road-650 Red, 44",BK-R50R-44,Red,44,486.7066,782.99
763,"Road-650 Red, 48",BK-R50R-48,Red,48,486.7066,782.99
764,"Road-650 Red, 52",BK-R50R-52,Red,52,486.7066,782.99
765,"Road-650 Black, 58",BK-R50B-58,Black,58,486.7066,782.99
766,"Road-650 Black, 60",BK-R50B-60,Black,60,486.7066,782.99
767,"Road-650 Black, 62",BK-R50B-62,Black,62,486.7066,782.99
768,"Road-650 Black, 44",BK-R50B-44,Black,44,486.7066,782.99
769,"Road-650 Black, 48",BK-R50B-48,Black,48,486.7066,782.99
770,"Road-650 Black, 52",BK-R50B-52,Black,52,486.7066,782.99
771,"Mountain-100 Silver, 38",BK-M82S-38,Silver,38,1912.1544,3399.99
772,"Mountain-100 Silver, 42",BK-M82S-42,Silver,42,1912.1544,3399.99
773,"Mountain-100 Silver, 44",BK-M82S-44,Silver,44,1912.1544,3399.99
774,"Mountain-100 Silver, 48",BK-M82S-48,Silver,48,1912.1544,3399.99
775,"Mountain-100 Black, 38",BK-M82B-38,Black,38,1898.0944,3374.99
776,"Mountain-100 Black, 42",BK-M82B-42,Black,42,1898.0944,3374.99
777,"Mountain-100 Black, 44",BK-M82B-44,Black,44,1898.0944,3374.99
778,"Mountain-100 Black, 48",BK-M82B-48,Black,48,1898.0944,3374.99
779,"Mountain-200 Silver, 38",BK-M68S-38,Silver,38,1265.6195,2319.99
780,"Mountain-200 Silver, 42",BK-M68S-42,Silver,42,1265.6195,2319.99
781,"Mountain-200 Silver, 46",BK-M68S-46,Silver,46,1265.6195,2319.99
782,"Mountain-200 Black, 38",BK-M68B-38,Black,38,1251.9813,2294.99
783,"Mountain-200 Black, 42",BK-M68B-42,Black,42,1251.9813,2294.99
784,"Mountain-200 Black, 46",BK-M68B-46,Black,46,1251.9813,2294.99
785,"Mountain-300 Black, 38",BK-M47B-38,Black,38,598.4354,1079.99
786,"Mountain-300 Black, 40",BK-M47B-40,Black,40,598.4354,1079.99
787,"Mountain-300 Black, 44",BK-M47B-44,Black,44,598.4354,1079.99
788,"Mountain-300 Black, 48",BK-M47B-48,Black,48,598.4354,1079.99
789,"Road-250 Red, 44",BK-R89R-44,Red,44,1518.7864,2443.35
790,"Road-250 Red, 48",BK-R89R-48,Red,48,1518.7864,2443.35
791,"Road-250 Red, 52",BK-R89R-52,Red,52,1518.7864,2443.35
792,"Road-250 Red, 58",BK-R89R-58,Red,58,1554.9479,2443.35
793,"Road-250 Black, 44",BK-R89B-44,Black,44,1554.9479,2443.35
794,"Road-250 Black, 48",BK-R89B-48,Black,48,1554.9479,2443.35
795,"Road-250 Black, 52",BK-R89B-52,Black,52,1554.9479,2443.35
796,"Road-250 Black, 58",BK-R89B-58,Black,58,1554.9479,2443.35
797,"Road-550-W Yellow, 38",BK-R64Y-38,Yellow,38,713.0798,1120.49
798,"Road-550-W Yellow, 40",BK-R64Y-40,Yellow,40,713.0798,1120.49
799,"Road-550-W Yellow, 42",BK-R64Y-42,Yellow,42,713.0798,1120.49
800,"Road-550-W Yellow, 44",BK-R64Y-44,Yellow,44,713.0798,1120.49
801,"Road-550-W Yellow, 48",BK-R64Y-48,Yellow,48,713.0798,1120.49
802,LL Fork,FK-1639,,,65.8097,148.22
803,ML Fork,FK-5136,,,77.9176,175.49
804,HL Fork,FK-9939,,,101.8936,229.49
805,LL Headset,HS-0296,,,15.1848,34.2
806,ML Headset,HS-2451,,,45.4168,102.29
807,HL Headset,HS-3479,,,55.3801,124.73
808,LL Mountain Handlebars,HB-M243,,,19.7758,44.54
809,ML Mountain Handlebars,HB-M763,,,27.4925,61.92
810,HL Mountain Handlebars,HB-M918,,,53.3999,120.27
811,LL Road Handlebars,HB-R504,,,19.7758,44.54
812,ML Road Handlebars,HB-R720,,,27.4925,61.92
813,HL Road Handlebars,HB-R956,,,53.3999,120.27
814,"ML Mountain Frame - Black, 38",FR-M63B-38,Black,38,185.8193,348.76
815,LL Mountain Front Wheel,FW-M423,Black,,26.9708,60.745
816,ML Mountain Front Wheel,FW-M762,Black,,92.8071,209.025
817,HL Mountain Front Wheel,FW-M928,Black,,133.2955,300.215
818,LL Road Front Wheel,FW-R623,Black,,37.9909,85.565
819,ML Road Front Wheel,FW-R762,Black,,110.2829,248.385
820,HL Road Front Wheel,FW-R820,Black,,146.5466,330.06
821,Touring Front Wheel,FW-T905,Black,,96.7964,218.01
822,"ML Road Frame-W - Yellow, 38",FR-R72Y-38,Yellow,38,360.9428,594.83
823,LL Mountain Rear Wheel,RW-M423,Black,,38.9588,87.745
824,ML Mountain Rear Wheel,RW-M762,Black,,104.7951,236.025
825,HL Mountain Rear Wheel,RW-M928,Black,,145.2835,327.215
826,LL Road Rear Wheel,RW-R623,Black,,49.9789,112.565
827,ML Road Rear Wheel,RW-R762,Black,,122.2709,275.385
828,HL Road Rear Wheel,RW-R820,Black,,158.5346,357.06
829,Touring Rear Wheel,RW-T905,Black,,108.7844,245.01
830,"ML Mountain Frame - Black, 40",FR-M63B-40,Black,40,185.8193,348.76
831,"ML Mountain Frame - Black, 44",FR-M63B-44,Black,44,185.8193,348.76
832,"ML Mountain Frame - Black, 48",FR-M63B-48,Black,48,185.8193,348.76
833,"ML Road Frame-W - Yellow, 40",FR-R72Y-40,Yellow,40,360.9428,594.83
834,"ML Road Frame-W - Yellow, 42",FR-R72Y-42,Yellow,42,360.9428,594.83
835,"ML Road Frame-W - Yellow, 44",FR-R72Y-44,Yellow,44,360.9428,594.83
836,"ML Road Frame-W - Yellow, 48",FR-R72Y-48,Yellow,48,360.9428,594.83
837,"HL Road Frame - Black, 62",FR-R92B-62,Black,62,868.6342,1431.5
838,"HL Road Frame - Black, 44",FR-R92B-44,Black,44,868.6342,1431.5
839,"HL Road Frame - Black, 48",FR-R92B-48,Black,48,868.6342,1431.5
840,"HL Road Frame - Black, 52",FR-R92B-52,Black,52,868.6342,1431.5
841,"Men's Sports Shorts, S",SH-M897-S,Black,S,24.7459,59.99
842,"Touring-Panniers, Large",PA-T100,Grey,,51.5625,125.0
843,Cable Lock,LO-C100,,,10.3125,25.0
844,Minipump,PU-0452,,,8.2459,19.99
845,Mountain Pump,PU-M044,,,10.3084,24.99
846,Taillights - Battery-Powered,LT-T990,,,5.7709,13.99
847,Headlights - Dual-Beam,LT-H902,,,14.4334,34.99
848,Headlights - Weatherproof,LT-H903,,,18.5584,44.99
849,"Men's Sports Shorts, M",SH-M897-M,Black,M,24.7459,59.99
850,"Men's Sports Shorts, L",SH-M897-L,Black,L,24.7459,59.99
851,"Men's Sports Shorts, XL",SH-M897-X,Black,XL,24.7459,59.99
852,"Women's Tights, S",TG-W091-S,Black,S,30.9334,74.99
853,"Women's Tights, M",TG-W091-M,Black,M,30.9334,74.99
854,"Women's Tights, L",TG-W091-L,Black,L,30.9334,74.99
855,"Men's Bib-Shorts, S",SB-M891-S,Multi,S,37.1209,89.99
856,"Men's Bib-Shorts, M",SB-M891-M,Multi,M,37.1209,89.99
857,"Men's Bib-Shorts, L",SB-M891-L,Multi,L,37.1209,89.99
858,"Half-Finger Gloves, S",GL-H102-S,Black,S,9.1593,24.49
859,"Half-Finger Gloves, M",GL-H102-M,Black,M,9.1593,24.49
860,"Half-Finger Gloves, L",GL-H102-L,Black,L,9.1593,24.49
861,"Full-Finger Gloves, S",GL-F110-S,Black,S,15.6709,37.99
862,"Full-Finger Gloves, M",GL-F110-M,Black,M,15.6709,37.99
863,"Full-Finger Gloves, L",GL-F110-L,Black,L,15.6709,37.99
864,"Classic Vest, S",VE-C304-S,Blue,S,23.749,63.5
865,"Classic Vest, M",VE-C304-M,Blue,M,23.749,63.5
866,"Classic Vest, L",VE-C304-L,Blue,L,23.749,63.5
867,"Women's Mountain Shorts, S",SH-W890-S,Black,S,26.1763,69.99
868,"Women's Mountain Shorts, M",SH-W890-M,Black,M,26.1763,69.99
869,"Women's Mountain Shorts, L",SH-W890-L,Black,L,26.1763,69.99
870,Water Bottle - 30 oz.,WB-H098,,,1.8663,4.99
871,Mountain Bottle Cage,BC-M005,,,3.7363,9.99
872,Road Bottle Cage,BC-R205,,,3.3623,8.99
873,Patch Kit/8 Patches,PK-7098,,,0.8565,2.29
874,"Racing Socks, M",SO-R809-M,White,M,3.3623,8.99
875,"Racing Socks, L",SO-R809-L,White,L,3.3623,8.99
876,Hitch Rack - 4-Bike,RA-H123,,,44.88,120.0
877,Bike Wash - Dissolver,CL-9009,,,2.9733,7.95
878,Fender Set - Mountain,FE-6654,,,8.2205,21.98
879,All-Purpose Bike Stand,ST-1401,,,59.466,159.0
880,Hydration Pack - 70 oz.,HY-1023-70,Silver,70,20.5663,54.99
881,"Short-Sleeve Classic Jersey, S",SJ-0194-S,Yellow,S,41.5723,53.99
882,"Short-Sleeve Classic Jersey, M",SJ-0194-M,Yellow,M,41.5723,53.99
883,"Short-Sleeve Classic Jersey, L",SJ-0194-L,Yellow,L,41.5723,53.99
884,"Short-Sleeve Classic Jersey, XL",SJ-0194-X,Yellow,XL,41.5723,53.99
885,"HL Touring Frame - Yellow, 60",FR-T98Y-60,Yellow,60,601.7437,1003.91
886,"LL Touring Frame - Yellow, 62",FR-T67Y-62,Yellow,62,199.8519,333.42
887,"HL Touring Frame - Yellow, 46",FR-T98Y-46,Yellow,46,601.7437,1003.91
888,"HL Touring Frame - Yellow, 50",FR-T98Y-50,Yellow,50,601.7437,1003.91
889,"HL Touring Frame - Yellow, 54",FR-T98Y-54,Yellow,54,601.7437,1003.91
890,"HL Touring Frame - Blue, 46",FR-T98U-46,Blue,46,601.7437,1003.91
891,"HL Touring Frame - Blue, 50",FR-T98U-50,Blue,50,601.7437,1003.91
892,"HL Touring Frame - Blue, 54",FR-T98U-54,Blue,54,601.7437,1003.91
893,"HL Touring Frame - Blue, 60",FR-T98U-60,Blue,60,601.7437,1003.91
894,Rear Derailleur,RD-2308,Silver,,53.9282,121.46
895,"LL Touring Frame - Blue, 50",FR-T67U-50,Blue,50,199.8519,333.42
